year,quarter,visitors,incomes
2014,1,2288453,5.445
2014,2,1372924,4.327
2014,3,1560284,4.906
2014,4,2202161,5.558
2015,1,2331086,5.605
2015,2,1357590,4.598
2015,3,1618813,5.209
2015,4,2257107,5.659
2016,1,2428829,5.971
2016,2,1600754,5.039
2016,3,1928590,5.744
2016,4,2569730,6.361
2017,1,2516202,6.833
2017,2,1863293,6.125
2017,3,2017684,6.602
2017,4,2801567,7.75
2018,1,3020710,8.199
2018,2,1957183,6.393
2018,3,2245662,6.939
2018,4,3003207,6.751
2019,1,3078585,7.427
2019,2,2043843,6.765
2019,3,2284609,7.509
2019,4,3158912,8.357
2020,1,2385589,6.168
2020,2,13379,0.048
2020,3,61157,0.199
2020,4,201257,0.444